Alegria,alegría
bienestar,bienestar
Estado de animo,ánimo
Triunfo,triunfo
Se tiene luego de esforzarse para alcanzarlo,esfuerzo
Produce felicidad,felicidad
Motivo,motivación
lo que desencadena que suceda ,causa
Los seres humanos se caracterizan por poseer esta capacidad,humano
Se desarrolla por el pensamiento,pensamiento
algo que beneficia a ambas partes,dos o más partes
requiere compromiso de ambas partes,compromiso
falta de control de sentimientos propios,incontrolable
angustia,angustia
miedo,miedo
beneficio,beneficios
recibir algo despues de un logro,logro
uno se siente realizado,realización
efecto de esfuerzo,esfuerzo
consecuencia de ventas,ventas
capacidad de hacer algo,hacer
ser bueno en algo,bien
ser competente para algo,competencia
perdonar por pena,perdón
ayudar,ayuda
confort,confort
proteccion,protección
cuidado,cuidado
compromiso que debe cumplirse,compromiso
proyecto,proyecto
acciones a segui,acción
como te sientes despues de recibir algo,sentimiento
gratitud,gratitud
lo que sientes cuando alguien te hace un favor,favor
mentira o verdad que sirve para evadir una situacion,mentira
frase con la cual  busca ser perdonado,perdón
frase que se emite con tal de no verse perjudicado,no perjuicio
elegir algo por sobre otro,elección
aumenta la probabilidad de golpe crítico,golpear
capacidad fisica,capacidad
triunfo,triunfo
victoria,victoria
logros obtenidos,logro
realización de sueños,realización
para conseguirlo es necesario el trabajo duro,trabajo
cumplimiento de los objetivos,cumplimiento
angustia,angustia
generalmente se le asocia a los arqueros,arquero
el autogol fue por mi ,error
en chile se vive en constante ,hay en Chile
advertencia ,advertencia
aviso previo frente a una situacion,advertencia
probabildiad de salir dañado,daño
angustia interna,angustia
desesperacion frente a una situacion,desesperación
existen medicamentos para reducirla,tratamiento contra
tranquilidad ,tranquilidad
idea,idea
ocurre en la mente ,mente
genera preguntas ,preguntas
cuestionamiento de algo ,cuastionamiento
benfecicio mutuo ,beneficios
se llega cuando no se puede hacer frente a una situacion ,dificultad
se llega por medio de negociaciones ,negocios
misericordia ,misericordia
muestra debilidad ,debilidad
la gente de religion deberia mostrarla ,religión
culpa ,culpa
obtener beneficios,beneficios
buenos resultados,bien
sentirse bien,bien
compartir emoción,emoción
euforia ,euforia
elección,elección
elegir lo que es mejor,elección
enfrentarse a diferentes alternativas,alternativa
deseo descontrolado por conseguir algo,descontrol
aspiración,aspiraciones
virtud,virtud
cualidad destacable de las personas,cualidad
ser transparente,transparencia
no ocultar cosas que debería decir,no ocultar
crítica,crítica
una ayuda para mejorar algo,ayuda
pauta para actuar bien,bien
defensa propia para evitar sanción,defensa
argumento a favor de uno,argumentación
protección ,protección
vela por nuestro bienestar,bienestar
una ventana abierta,ventana
chance ,chance
idea,idea
"razonamiento,  conciencia",razonamiento
flujo de información,información
subconciente,subconciente
Cuando corro peligro estoy bajo una…,peligro
Algo que puede dañarte,daño
peligro,peligro
El hombre para la naturaleza,humano
Lo que ocurre en la conciencia ,conciencia
La mente trabaja con el…,mente
Cuado estas en tu hogar estas en una supuesta …,hogar
Cuando no hay riesgo alguno,no riesgo
Tranquilidad,tranquilidad
Protección,protección
Respuesta ante un cumplido recibido,respuesta
Después de recibir un regalo,regalo
Amenaza,amenaza
Riesgo de sufrir daños,daño
Una persona amenazante puede ser un peligro,amenaza
Falta de seguridad,inseguridad
Estar en un edificio viejo cuando hay un terremoto,terremoto
El pensar de que algo pueda ocurrir ,pensamiento
Pensar en los actos buenos de alguien malo puede darte un poco de ...,pensamiento
Pensar en superar un momento duro,pensamiento
Pensamientos felices siempre entregan …,pensamiento
Lo que nos da fuerzas para seguir adelante,fuerza
Idea,idea
Uno es cuidadoso cuando se encuentra en este tipo de situaciónn,cuidado
sonreir,sonrisa
Es un sentimiento o estado,sentimiento
cortesía,cortesía
Se da cuando a uno le benefició el acto voluntario de alguien mas,voluntario
Es un acto que los padres enseñan a dar a los hijos desde pequeños,padres
