Sinceridad,sinceridad
es una emoción positiva,emoción
Buen desempeño,desempeño
no poder de dejar pensar/querer  algo,no dejar
Cuando me va bien en el negocio se obtienen …….,negocios
Lo contrario a prohibicion,no prohibicion
Explicación de algún concepto,explicación
Se siente cuando se piensa que no hay solución,no solución
Aveces son desperdiciadas ,desperdicio
Debe ser enseñado,enseñanza
Se debre enfrentar con atencion ,atención
Produce adrenalina,adrenalina
Puede ser objetiva y subjetiva ,objetivo/subjetivo
Los formales pueden tener grandes consecuencias ,formal/informal
Puede ser interno a una persona o externo a esta,interno/externo
transparencia,transparencia
agobio,agobio
encerrado,encierro
situación inestable,inestabilidad
concepto,concepto
tregua,tregua
es un atributo,atributo
sentirse lleno ,lleno
lástima ,lástima
benelovencia ,benelovencia 
es algo desesperante,deseperación
"siempre definen algo, no conceptualmente",definición
Amerita retribucion,retribución
Se suelen realizar acciones para repararlo,reparación 
Intenta enmendarse,enmendar
se es transparente,transparencia
Se busca brindarla,brindar
se le puede entregar a alguien bajo la premisa que cumpla,entregar
su completacion lleva a satisfaccion,completar
usado con frecuencia en pruebas academicas,académico
fortuna,fortuna
se omite en muchos casos ,omisible
armar,amor
claridad,claridad
transparencia,transparencia
leal,leal
aviso,aviso
malestar,malestar
dolo o mala intencion,dolo
completitud,completitud
direccionar,dirrecionar
union,unión
irritación,irritación
constreñir,constricción
en una celebracion,celebración
concepto de algo,concepto
reunion,reunión
uno lo hace para hacer dieta ,dieta
culmine,culmine
cuando alguien es inteligente ,inteligencia
las autoridades las dan ,autoridad
asesino,asesino
arte de poder hacer algo ,arte
culturización,cultura
disminuye el miedo,no miedo
no deja espacio a la duda,no duda
ilusión,ilusión
fantasía,fantasía
punto de equilibrio,punto medio
premeditación,premeditación
se almacena en la memoria,memoria
útil frente a lo ambiguo,útil
Apela a los sentimientos,apelación
Algunos se preocupan más que otros,propensión
Susceptible a sufrir manipulación,manipulación
Busca la simpleza e universalidad,simplificación
Detalla el significado,detallar
Escuda frente a pensamientos dañinos,escudo
Energía desbordante,energía desbordante
Debe meditarse ,meditación
Nos sentimos avergonzados,vergüenza
Todas las mamás la tienen,madres
Estado de plenitud en el que no te sientes bajo algún peligro,plenitud
Calificación de una acción a la que te mandaron,calificación
Coincidir en algo ,coincidencia
Planificar hacer algo ,plan
Quedar con alguien a hacer algo,quedar
No poder esperar ,no esperar
Cuando vendo algo obtengo una ,ventas
Cuando se piensa mucho en algo que me gusta,pensar mucho
Es un principio,principio
Planificacion Previa,previo
Pueden no funcionar,no funcionar
victima,victima
provoca que andes desconcentrado,desconcentración
fiel,fiel
no hay que guardarse secretos,no secretos
esperanza,esperanza
está presente en finanza y economía,finanzas
Capacidad de expresar estados internos complicados a otros,expresión
Se asocia a las personas directas ,directo
Gusto sobreexagerado a una determinada cosa,sobre exageración
"En las relaciones tormentosas ya no se habla de amor, sino de este transtorno",confución amor
Momento donde se abren espacios para la inclusión de algún concepto o persona,momento
Lo contrario a tener temor y miedo,no temor
excitado,excitación
Puede ocurrir una desgracia indeseada,desgracia
Los políticos generalmente no lo son,no politicos
Uno espera que los políticos siempre nos digan esto,politicos no
Cuando uno dice las cosas con franqueza,franqueza
Estar muy exitado ,exitación
obtener un beneficio,obtención
sujeto negligente,negligencia
sentimiento bonito,bonito
arreglo,arreglo
humildad,humildad
aliciente de que vendra algo mejor,aliciente
Aumento de Recursos,aumento
sentido de hermandad,hermandad
protocolo,protocolo
frontalidad,frontalidad
no es indispensable pero favorece la optimizacion de una accion,optimizacion
fuerza que lleva a la caridad,caridad
estar espectante a recibir algo o alguna noticia,expectativas
Algo efímero,efímero
Aclarar una confusión ,aclaración
financiamiento,finaciamiento
Surge en cualquier ocasiòn ,cualquier ocasión
perserverancia,perseverancia
