Crea confianza,confianza
Los ladrones tampoco lo son,no delincuencia
Es una virtud,virtud
Dicernimiento al respecto de las situaciones,discernimiento
Alegría con la situación y con una persona,alegría
Cariño,cariño
Esperanza,esperanza
Puede tener un marco legal,legal
Sinceridad,sinceridad
Aseveración,aseveración
Cuando uno piensa que tiene todo perdido pero se abre una brecha,creencia
No perder nunca la fe,fe
Estar certeros de la situación,certeza
Creencia,creencia
Es una promesa que esperamos que se cumpla algún día,promesa
Cuando uno no quiere hacer algo volutariamente,no voluntad
Puede ser impuesto por otro persona o voluntarios,no voluntad
Es un estado mental,mental
darle ideas sobre algo a una persona,idea
opinion propia,opinión
mejorar lo que hiciste desde un principio,mejorar
estar muy alegre,alegría
emocion,emoción
sonrisa,sonrisa
fe,fe
pedri algo,pedir
ser el mejor en lo que hago,el mejor
amar una cosa,amor
estar loco por alguien o algo,locura
desesperado,desesperación
transpiracion,sudor
desesperación,desesperación
transparencia,transparencia
acotación,acotación
es una idea que  podria ser aceptada,idea
ganar algo,ganar
estrategia,estrategia
sensanción de plenitud,plenitud
verdad,verdad
transparencia en el actuar,transparencia
acción de lo desconocido,desconocido
acción de lo conseguido o logrado,logro
expresión que se da cuando se necesita conseguir algo,expresión
certeza,certeza
lo que es,lo que es
realidad,real
desafío,desafío
sensación no placentera,no placer
chance,chance
ventana,ventana
certeza,certeza
programa,programa
acuerdo,acuerdo
lastima por el otro,lástima
emocion de congoja por otra persona,emoción
"Pensamiento, mente",pensamiento
capacidad de pensar las cosas,pensamiento
sensancion de tranquilidad frentea una situacion,tranquilidad
resguardo,resguardo
proteccion,protección
mala forma de amar,mal amor
querer las cosas para uno sin importar nada mas,querer
consenso,consenso
situacion que uno puede arovechar o no,aprovechar
transparencia ante la vida,transparencia
el no uso de mascaras y de omisiones,no mascaras
evadir algo,evación
responsable de algo negativo,responsabilidad
pensado,pensamiento
emocion positiva,positivo
Tomar una definición,definición
Dominio,dominio
Obtener un objeto o cosa de utiidad,obtención
Lograr un objetivo ,logro
Responsabilidad,responsabilidad
orientar,orientación
inteligente,inteligencia
decir la verdad,verdad
ser transparente,transparencia
estar con la mente tranquila,tranquilidad
disfrutar,disfrutar
tranquilidad,tranquilidad
precausión,precaución
buen desempeño,desempeño
inteligente,inteligencia
accion inteligente,inteligencia
obtención de algo,obtención
Expectativa de que algo bueno pueda suceder,expectativa
el resultado más probable,probable
idea,idea
consentimiento,consentimiento
tener algo a favor a cambio de algo vendido,ventas
ser participe de un acto.,participación
tener conceptos acertivos en un dialogo,concepto
manipular informacion para conveniencia,manipulación
mapa de ruta con un objetivo especifico,mapa
sensacion de agobio extremo,agobio
estar sin salida y no poder revertirlo a pesar de los esfuerzos,sin salida
forma individual de interpretacion,interpretación
idea interna,idea
instancia que debe ser aprovechada,aprovechar
fuerza que ayuda a los que sufren,fuerza
sentir pena poralgo o alguien,pena
modelo de organización,modelo
tomar una postura con convicción,postura
Planificar algo,plan
Hablar sobre como se forma algo o como se constituye ,formación
Desviar una responsabilidad,no responsabilidad
Es dar las gracias o devolver un favor,gracias
Capacidad que tiene nuestro cerebro de crear o estructurar conceptos abstractos que luego transforma en concretos y crea ideas. ,abstracción
estar contento,contento
palabras claves que lo identifiquen ,identidad
no bulnerable,invulnerable
no pasado a llevar ,no pasar a llevar
Pretexto,pretexto
Forma de esquivar algo,esquivar
Saber hacer algo,saber
prorroga,prorroga
 palabras para safarse de algo o alguien,safarse
huir,huir
existencia,existir
cumbre,cima
optimismo,optimismo
imposicion,imposición
