Preservativo,preservativo
Lo que no hay en los barrios marginales,no marginal
Cuando alguien le hace un favor a otro este le hace saber al otro que lo ayudó,favor
Recibir más dinero que lo que se invirtió,dinero
Dinero,dinero
Plata,dinero
Lo que se recibe cuando un proyecto es bueno,bien
Rinde,rendimiento
Contento,alegría
Como se sienten los padres cuando tienen un hijo,familia
Sonrisa,sonrisa
Risas,risa
Para ello uno ocupa solamente el cerebro,cerebro
Es un tipo de corriente,corriente
Se tiene miles de ellos cada día,muchos
Dan lugar a las ideas,idea
Algo peligroso,peligro
Algo que uno tiene que cumplir,compromiso
Lo que uno siente cuando hace algo perjudicial para otro y está arrepentido,arrepentimiento
Sentimiento de angustia al perjudicar a otro ,angustia
La explicación de lo que es una palabra,explicación
Se encuentran muchas en los diccionarios,diccionario
Lo que uno siente al estar protegido,protección
Existe un juego de mesa con este nombre,juego de mesa
La necesitan los deportistas,deporte
hacer que alguien haga algo,hacer
cuando debes hacer algo si o si,hacer
chance,chance
que te permitan hacer algo que quieres,permitir
contrario a cuando no te dejan intentarlo denuevo,no nuevos intentos
algo que aprovechas si es que te la dan,aprovechar
encontrarse en una situación mala y perder el control,descontrol
actitud que se toma frente a situaciones estresantes,estrés
estar pleno,plenitud
aprender a valorar cada cosa,valor
contrario a perdida,no perder
cuando se vende algo a un precio mayor que el del costo original,ventas
cuando dices algo con certeza,certeza
cuando a veces temes por tu vida,temor
en Chile no hay,no hay en Chile
pretexto,pretexto
beneficio,beneficios
puede ser material o de conocimientos,material
consejo,concejo
una virtud muy positiva,virtud
sinceridad,sinceridad
se relaciona con la integridad,integridad
ventana ofrecida por el azar ,ventana
calma,calma
vacaciones en un lugar soleado pero no muy caluroso,vacaciones
estar con personas amadas,amor
sensación plena de satisfacción ,satisfacción
cualidades positivas de una persona,cualidad
necesarias para lograr algo,necesario
cualidad de una persona que dice la verdad,verdad
cualidad positiva de una persona,cualidad
tiene la verdad por delante,verdad
dicese de la descripción de un objeto o concepto,descripción
se realiza antes de ejecutar un trabajo o acción,previo
Cuando una persona tiene conocimiento de su error y sabe que está afectando a otro ente.,error
Nos permite tomar desiciones correctas y no actuar por instinto,desiciones
es el inverso de la media,matemáticas
es una emocion,emoción
lo tiene cuando uno quiere lograr algo pero es dificil lograrlo,logro
sirve para la automotivación,motivación
es un valor,valor
hay que decirla en un juicio,juicio
a veces es dificil decirla,dificultad
credibilidad,credibilidad
es un sentimiento,sentimiento
castigo,castigo
tareas,tareas
reuniones importantes,reunión
se te fuerza a hacer algo,forzar
se puede evadir,evación
venta,ventas
dos o mas participantes,dos o más partes
memoria,memoria
decir la verdad,verdad
es un valor,valor
es calificativo,calificativo
estan en los conciertos,conciertos
certeza en tus palabras,certeza
con la mente clara,claridad
policia,policias
seguro,seguridad
genio,genialidad
significado de un elemento,significado
real ,real
tener lastima de alguien,lástima
accion mental,mente
muchas veces no se hace y solo se actua ,hacer sin
capacidad de una persona ,capacidad
todos poseen capacidades diferentes ,capacidad
se les dice a las personas que tienen una vida llena de logros,logro
dar motivos para cambiar o ratificar una decision,motivación
sucesivo de acciones ,acción
Es aquello que nos da el significado de una palabra u concepto.,significado
lo sentimos cuando no podemos respirar,ahogamiento
el por qué de una acción o acontecimiento,causa
mente,mente
desesperación ,desesperación
capacidad de realizar algo,capacidad
destreza en una disciplina,destreza
como tener capacidades para el desarrollo de artes manuales,capacidad
pensar positivo pensando que algo ocurrira,pensamiento
los creyentes la tienen en Dios,Dios
saber que algo sucederá ,saber
certeza sobre algo,certeza
estado de ánimo positivo,ánimo
angustia frente a algo,angustia
pensar que las cosas van a estar bien,pensamiento
realización,realización
pensamiento,pensamiento
se puede contradecir,contradecir
opinión,opinión
estar ansioso,ansiedad
pensamientos malos,pensamiento
ser respetuoso,respeto
tener cuidado,cuidado
opinión,opinión
las personas lo tienen,lenguaje
son diferentes al resto,diferentes
que esta pasando,actual
