Concepto,respuesta,Code
air,high,height
air,clear,transparency
air,big,size
air,light,weightless
air,blue,blue
air,sky,sky
air,invisible,transparency
air,,ubiquity
air,ability help sustain life,vital
air,necessary,essential
air,benifical,positive
air,smell nice,pleasant
air,air move constantly,movement
air,air necessary survival specie earth,vital
air,air ubiquitous,ubiquity
air,air disperse pollen,pollination
air,air current weather,weather
air,air movement gentle violent,movement
air,fresh,clean
air,person go outside fresh air,clean
air,person take deep breath fill lung natural air,vital
air,vital,vital
air,quality,quality
air,healthy,clean
air,oxygen,oxygen
air,require animal live,vital
air,necessity,essential
air,potentially dangerous,hazard
air,wind,wind
air,visible human eye,transparency
air,vulnerable human pollution,pollution
air,provide oxygen,oxygen
air,ruin wildfire smoke,pollution
air,support bird migration,migration
air,insect domain,insects
air,subject weather,weather
air,gasp,breathing
air,free,accessibility
air,fresh,clean
air,open,accessibility
air,accessible,accessibility
air,clear,clean
air,air quality change,air quality
air,plant animal human rely air,animals
air,air provide oxygen,oxygen
air,air carry water vapor play precipitation,weather
air,air create wind,wind
air,air carry pollen,pollination
air,nitogen,nitrogen
air,gas,gas
air,breath,oxygen
air,14psi sea level,pressure
air,need life,vital
air,hold earth ozone layer gravity,ozone
air,oxygen,oxygen
air,nitrogen,nitrogen
air,carbon dioxide,carbon dioxide
air,wind,wind
air,flight,flight
air,ozone,ozone
air,breathe,breathing
air,tree,plant
air,oxygen,oxygen
air,necessary life,vital
air,necessary photosynthesis,vital
air,wind,wind
air,wind pattern,wind
air,photosynthesis,photosynthesis
air,air quality,air quality
air,climate regulation,climate
air,airborne seed pollination,pollination
air,provide life,vital
air,live,vital
air,allow thin freely,movement
air,oxgen,oxygen
air,carbohydret,carbon
air,provide plant produce food,photosynthesis
air,excertion place,breathing
air,influence weather climate,weather
air,air pressure,pressure
air,pollution,pollution
air,water vapor,water vapor
air,thermal insulation,thermal insulation
air,photosynthesis,photosynthesis
air,breatheable,clean
air,movement,movement
air,temperature,temperature
air,pressure,pressure
air,transparency,transparency
air,pressure,pressure
air,polluted,pollution
air,necessary breathe,vital
air,require photosynthesis,photosynthesis
air,provide oxygen,oxygen
air,belong,accessibility
air,free toxin,toxins
air,clean,clean
air,pure,clean
air,fresh,clean
air,light,weightless
air,stagnant,flow
air,flow,flow
air,clean,clean
air,insect,insects
air,windy,wind
air,thin certain altitude,thickness
air,thick humid area,thickness
air,endanger fossil fule,pollution
air,clean dirty,clean
air,hot cold depend season,temperature variation
air,oxygen,oxygen
air,create wind,wind
air,pollute,pollution
air,air humid dry,humidity
air,mixture gas air mixture gas primarily nitrogen 78 oxygen 21 trace amount gas like argon carbon dioxide water vapor,gas
air,essential respiration air provide oxygen essential respiration living organism include human animal microorganism,vital
air,weather climate air play crucial role weather climate pattern distribute heat moisture planet influence wind precipitation temperature,weather
air,atmospheric layer air form earth atmosphere divide layer troposphere stratosphere mesosphere thermosphere distinct property function,layers
air,pressure variation air pressure vary altitude weather condition affect breathe high altitude weather system,pressure
air,wind formation movement air wind create difference air pressure cause uneven heating earth surface sun,wind
air,nitrogen,nitrogen
air,oxygen,oxygen
air,argon,argon
air,carbon,carbon
air,neon,neon
air,helium,helium
air,wind,wind
air,weather,weather
air,pollution,pollution
air,oxygen,oxygen
air,temperature,temperature
air,pressure,pressure
animal,survivor,survival
animal,live group,social
animal,acquire food take time,feeding
animal,aware surrounding,awareness
animal,try blend surrounding,camouflage
animal,protect offspring,parental care
animal,living,life
animal,organism,life
animal,living organism,life
animal,alive,life
animal,resident earth,life
animal,organism bear die,life
animal,extremely diverse,diversity
animal,find habitat,ubiquity
animal,separate human,non-human
animal,food chain hierarchy,food chain
animal,free,freedom
animal,dangerous,dangerous
animal,bird,bird
animal,pet,pets
animal,cage,caged
animal,dangerous animal,dangerous
animal,train,trained
animal,different specie,diversity
animal,integrate nature,nature integration
animal,predator prey,food chain
animal,balance,balance
animal,endanger,endangered
animal,loss natural habitat,habitat loss
animal,integrate nature,nature integration
animal,beautiful,beauty
