descontento,descontento
vision,visión
de concretar algo,concreto
fijo,invariable 
solido,sólido
optimo,óptimo
general,general
libertad,libertad
estabilidad,estabilidad
de sentir un apuro por que un hecho pase,apuro
equilibrado,equilibrio
paciente,paciencia
educacion,educación
notacion,notación
son reglas,reglas
no esta hecho para discusión ,no discusión
se siente con el corazon,corazón
lo relacionan con el éxito,éxito
las personas la generan u otorgan,generación
se utiliza en empresas,empresas
orgullo,orgullo
Sentimiento que asegura que todo mejorará en algun momento,mejorar
oficiales y militares los ocupan para los rescates,militar
un cantante cuando tiene muchos seguidores,seguidores
es objetivo,objetividad
un objetivo que se busca,objetivos
atacado por algo,ataque
sentir tristeza por otra persona o cosa,tristeza
puede ser verbal o escrito,verbal/escrito
no tener esperanza ,desesperanza
no tener paciencia,impaciencia
una forma de ordenar la vida ,orden
Estrategia,estrategia
Mapa previo a realizar algo,mapa
Coherencia,coherencia
Esta en el lema patrio de Chile,lema patrio
Comprar algo en una oferta flash,oferta
Colocarse en el lugar del otro,empatía
Ser benevolo,bondad
Levantar a un enemigo del suelo,enemigo
No poder cambiar algo,no acción
Querer algo por sobre todas las cosas,querer
carácter subjetivo,subjetivo
se trata como un problema que se necesita corregir,problemas
Deseo del ser humano,deseo
Sensación de remordimiento del ser humano,remordimiento
no peligroso,no peligro
guardias,guardias
invento,invento
fobia,fobia
presentar una opción,opción
una opción,opción
se escapa de ello,escape
puede provocar muerte,muerte
se asocia al color blanco,blanco
se busca en las personas,búsqueda
gozo,gozo
se ve todo positivo,positivo
contraria a la tristeza,no tristeza
"Imposición de carácter legal, moral u otro tipo que tiene una persona",imposición
Intranquilidad por algo pendiente o no resuelto,intranquilidad
movimientos repetitivos y rápidos (mover el pie y el lápiz),cambio corporal
Poca tolerancia ,no tolerencia
"Ponerse en el sentimiento del otro, como el otro lo siente",empatía
Empatía,empatía
Hacer algo por el dolor ajeno para aliviarlo,alivio
Uno se conmueve por el dolor o la angustia de otro ,empatía
Pedir perdón,perdón
Remordimiento,remordimiento
Analizar ,análisis
Pasos a seguir frente a una situación,pasos
Hay opciones,opción
fijación por algo o alguien ,fijación
estado de extasis maximo,éxtasis
sentimiento positivo,positivo
acuerdo de algo,acuerdo
compadecerse de algo,compasión
apiadarse de algo o alguien,piedad
sentimiento positivo,positivo
gesto fuerte para amedrentar a otro,intimidación
los narcotraficantas lo hacen para que sus lacayos no hablen,delincuencia
caracteristica fisica que permite moverse con agilidad,características
para trepar arboles se necesita gran,agilidad/fuerza
para movimientos bruzcos necesito agilidad y,agilidad/fuerza
nunca puedes dejar de tenerlo en la cabeza,no terminan
el yoga intenta alejarte de cualquiera de ellos,alejamiento
resguardo,resguardo
razon por la cual no guardo el dinero debajo del colchon,precaución
los ladrones la alteran,criminales la violan
muchas casas ponen rejas y cercado para dar mas,rejas
siempre que alguien hace algo por mi estoy,otro/alguien
si ayudo a otro este me,ayuda
cuando alguien maneja mal es un ,manejar mal
un niño es una,niños
lo ulitmo que se pierde es la,lo último que se pierde
estrategia,estrategia
estrategia para conseguir algo,estrategia
suceso de pasos para lograr objetivo,pasos
es como un camino para alcanzar algo,camino
querer alcanzar el futuro,querer
querer todo ahora,querer
estamos de,acuerdo
se genera por consentimiento de dos posturas,consentimiento
Puede ser física o verbal,físico/verbal
Imaginación,imaginación
Despreocupación,despreocupación
Es lo último que se pierde,lo último que se pierde
Lo que nos impulsa,impulso
Esquema,esquema
Organización de acciones a seguir,organización
Sudoración excesiva,sudor
Impaciencia,impaciencia
Anticipación de algún suceso desagrable,anticipación
"Un ejemplo es el ""prenupcial""",contrato
cuando alguien se enoja lo dice,enojo
se relaciona con habilidades,habilidades
nos permite desarrollar habilidades,habilidades
se da en las personas,persona
es individual,individual
sirve para analizar situaciones,análisis
