conlleva aprobación social,aprobación
triunfante,triunfo
la tienen las personas que se dedican a algo,dedicación
los mejores deportistas la tienen para sus disciplinas,deporte
rectitud,rectitud
Una de las cosas que te hace ser profesional en algo ,profesional
Antónimo de estar en estado de altera,no alerta
Zona de confort,confort
interés exagerado e incontrolable,interés
adquisición de cosas positivas,adquisición
privilegiar algo sobre las demás opciones,privilegiar
dar una respuesta,respuesta
educación ,educación
respuesta frente a una causa que te favorece,respuesta
sesgarce a más alternativas,sesgo
se siente en todo el cuerpo,cambio corporal
desplante,desplante
destreza,destreza
manejar algo por sobre los demás,manejo
limitación,limitación
ofensa,ofensa
enfrentamiento,enfrentamiento
agilidad,agilidad/fuerza
forma de realizar una actividad,actividades
dote,dote
puede compartirse,compartir
depende de cada persona,individual
confortabilidad,confort
estar a gusto,a gusto
adversidad,adversidad
guia,guía
no involucra espontaneidad de acontecimientos,no espontaneo
crea otros desordenes en el cuerpo,desorden
Puede influir en el la poca autoestima,no autoestima
Datar caracteristicas de un concepto,características
Gracias a el podemos tener un orden mental de las cosas,orden
Se relaciona con el chantaje,chantaje
Se ve mucho en programas solidarios,solidaridad
"Hay distintos tipos de ella, ya sea en plano material y emocional.",distintos
realizacion ,realización
Conducta considerada honrada ,honradez
regocijo,regocijo
cumplir una meta,cumplimiento
Cuando los beneficios sobrepasan los perjiuicios,beneficios
Es lo contrario a Perdida,no perdida
Forma de recompensar algún favor,recompensa
Una invasión alienigena es una potencial…..,alien
Los futbolistas poseen una mayor ………… que el resto para jugar futbol,deporte
El objetivo de todos en la vida,isp
Normalmente se obtiene despues de mucho esfuerzo,esfuerzo
Existen muchas amenazas que no son reales,no real
Puede ser bueno o malo,bien/mal
Zona de confort,confort
Oportunidad,oportunidad
"Quien no agradece, no aprende ",aprendizaje
Puede ser adictivo,adicción
Generalmente juega en contra,en contra
Se llevan a cabo todos los dias,diario 
impotencia,impotencia
seguridad de un hecho,seguridad
estamento,estamento
suma,suma
tristeza por el otro,tristeza
anhelo de adelantar el tiempo,anhelo
puedes sufrirlo si no te cuidas,sufrimiento
aunque no quieras siempre estas expuesto,exposición
sugerencia,sugerencia
cuando se siente se puede comer mucho,comer
se llega a una conformidad,conformidad
la forma en la que afrontas algo,forma
desarrollo,desarrollo
el porque de una acción,causa
existen guardias que cubren esto,guardias
Los celos pueden ser una manisfestación de esto,celos
Diccionario ,diccionario
entrega información clave de un concepto,información
antónimo de seguridad,no seguridad
facilitan el actuar ,facilidad
Deben ser tomas en base a nuestros verdaderos sentimientos ,sentimientos
Puede traer dudas,duda
Ejercita al cerebro,cerebro
Puede llevar a castigos,castigo
Actuar en contra de ella puede resultar perjudicial,perjudicial
Una persona carente de esto genera desconfianza,no desconfianza
Atrae el éxito,éxito
Los goriernos necesitan entregar esta cualidad,estado
los delincuentes suelen usarla,delincuencia
se suele evitar,evitación
las construcciones son las que más trabajan para disminuirlo,disminución
a veces se asocia con una sensacion,sensación
se tiene al ser habil,habilidades
amerita análisis para obtenerlo,análisis
nos ayuda a comprender cosas que no sabemos,comprensión
escasea hoy en dia,escasez
utilidades,utilidad
ingresos sobre gastos,ingreso
la gente intenta tener control sobre esto,control
usado con frecuencia en matematicas ,matemáticas
compañias telefonicas suelen ofrecerlos,telefonía
crisis,crisis
sociedades enteras han pasado por esto,sociedad
aveces usado por conveniencia de unos,conveniencia
mostrar el todo de un elemento,mostrar
estructurar,estructura
construir,constructivo
malhechor,malhechor
augurio,augurio
bienestar,bienestar
estabilidad,estabilidad
habilidad mental,habilidades
analisis,análisis
apostar por una opcion,opción
posicionar,posición
pacto,pacto
amistad,amistad
estabilidad,estabilidad
colaborar,colaborar
inestabilidad,inestabilidad
desequilibrio,desequilibrio
impacientar,impaciencia
forzar,forzar
presionar,presión
empujar,empujar
