convención ,convenio
contrato,contrato
puntos en común con alguien,común
perdón ,perdón
maquinación ,maquinación
los deportistas buenos la paseen,deporte
significa casi lo mismo con talento y practica,talento
guardias,guardias
se lo das a alguien cuando te ayudan,dar
tu cuerpo te prepara para un momento de…,cambio corporal
es importante no perderla,importante
hay buenos y malos,bien/mal
te pone inquieto,inquietud
pacto,pacto
No poder desconectarse de algo,no desconeción
Todas las palabras tiene una,palabra
Utilidad,utilidad
Puede ser material,material
Beneficio,beneficios
Mal acechante,acecha
son opciones para tomar que se dan en la vida de un individuo,opción
Es similar a un vicio,vicio
ocurre para evitar situaciones ,evitación
aplazar,aplazamiento
justificar,justificación
legitimización,legitimidad
sobreevaluar situaciones,sobrevaluación
elemento distintivo de  entidades relevantes en la sociedad,sociedad
permite tomar decisiones acertadas,permitir
deseo de que suceda algo en el futuro,deseo
concepto mas bien romantico,romantico
acciones precipitadas,precipitación
implica una mejora en el bienestar en caso de ejecutarse,bienestar
se pueden tomar o desechar,tomar/dejar
Medida que tomamos frente a un hecho ,medida
tener agilidad en algo,agilidad/fuerza
ser útil en algo determinado,utilidad
estabilidad,estabilidad
decir las cosas tal como son,en sí
cuando algo nos perturba demaciado,perturbación
alteracion,alteración
proponer algo,proposición
los delincuentes son un ejemplo de este concepto,delincuencia
la poseen los deportistas,deporte
lo que nos permite triunfar en determinada area,triunfo
ayuda a poder filtrar lo que decimos,filtro
hace que la gente nos crea en lo que decimos,credibilidad
cuando se presenta una situacion beneficiosa,beneficios
estar en lo correcto,correcto
irrefutable,irrefutable
fisica,físico
panico,pánico
remordimiento,remordimiento
Forma de justificarse,justificación
Sentir remordimiento por algo,remordimiento
indica una situación que necesita cuidado,cuidado
indicar una mejor solución,solución
son constructivas,constructivo
no esta sujeta a cambios,no cambio
muy usado ciencias físicas,ciencias
cuando algo esta acertado,correcto
percibir algun beneficio,beneficios
"puede ser monetaria, física, espiritual",monetario
puede señalar éxito,éxito
relacionado con el cerebro,cerebro
destreza,destreza
cinturon de…,cinturón
confort,confort
Cuando te ves en aprietos,aprieto
algo distinto,distintos
triunfar,triunfo
ser educado,educación
tienes que ser justo,justicia
se da entre amigos,amistad
comparar,comparación
algo real,real
se usa habitualmente para no tener la culpa,no culpa
responde a una pregunta,respuesta
es un motivo,motivación
es el argumento de algo,argumentación
es el testimonio ,testimonio
tiene que ser logico,lógica
te hace sentir triste,tristeza
te pones depresivo,depresión
matar a alguien te la produce,matar
normalmente se asocia al dinero,dinero
Parte cognitiva del ser humano,cognitivo
Al recibir algo damos esto a cambio.,a cambio
Al salir de mi carrera le daré esto a mi madre,padres
Los padres nos defienden de esto mientras somos niños o durante toda la vida,padres
sentimiento necesario ante la adversidad ,adversidad
no debemos perderla en ningún momento,no perder
Toda actividad debe tener esto antes de llevarla a cabo,anticipación
Paises realizan esto en muchas veces a lo largo de la historia,países
Se puede potenciar,potenciación
Inquietud ,inquietud
estrés,estrés
Seguridad,seguridad
Puede tener un grado de dificultad,dificultad
Esfuerzo,esfuerzo
Opcion,opción
Puede ser ignorada ,ingorada
Puede ser aceptada,aceptación
Interes sobre el tema,interés
"Si es aceptada, se transforma en una decision ",aceptación
Se asocia a una actividad,actividades
No involucra pensamiento ,no pensamiento
Puede traer sufrimiento ,sufrimiento
Es dificil mantenerla ,dificultad
Opuesto a la mentira ,no mentir
Es un valor,valor
Trae consecuencias ,consecuencias
Acepta lo ocurrido ,aceptación
Permite ,permitir
Perdonar ,perdón
Decision,decisión
Autoestima ,autoestima
Alivio  ,alivio
Dolor ,dolor
usain bolt y otros deportistas la poseen,deporte
sentimiento de confort y bienestar,confort
al salir de una tienda o lugar la expresas,despedida
sentimiento de que se cumpla algo deseado,cumplimiento
