PROP: emoción, CODE: sentimiento
PROP: desempeño, CODE: rendimiento
PROP: no dejar, CODE: permitir
PROP: negocios, CODE: empresas
PROP: no prohibicion, CODE: permiso
PROP: explicación, CODE: aclaración
PROP: no solución, CODE: problema
PROP: desperdicio, CODE: derroche
PROP: enseñanza, CODE: educación
PROP: atención, CODE: concentración
PROP: adrenalina, CODE: excitación
PROP: objetivo/subjetivo, CODE: objetivo
PROP: formal/informal, CODE: formal
PROP: interno/externo, CODE: interno
PROP: transparencia, CODE: claridad
PROP: agobio, CODE: estrés
PROP: encierro, CODE: confinamiento
PROP: inestabilidad, CODE: inseguridad
PROP: concepto, CODE: idea
PROP: tregua, CODE: paz
PROP: atributo, CODE: característica
PROP: lleno, CODE: completo
PROP: lástima, CODE: pena
PROP: benelovencia , CODE: bondad
PROP: desesperación, CODE: angustia
PROP: definición, CODE: explicación
PROP: retribución, CODE: compensación
PROP: reparación , CODE: arreglo
PROP: enmendar, CODE: corregir
PROP: brindar, CODE: ofrecer
PROP: entregar, CODE: dar
PROP: completar, CODE: terminar
PROP: académico, CODE: educativo
PROP: fortuna, CODE: suerte
PROP: omisible, CODE: evitable
PROP: amor, CODE: cariño
PROP: claridad, CODE: transparencia
PROP: leal, CODE: fiel
PROP: aviso, CODE: advertencia
PROP: malestar, CODE: incomodidad
PROP: dolo, CODE: maldad
PROP: completitud, CODE: totalidad
PROP: dirrecionar, CODE: guiar
PROP: unión, CODE: conexión
PROP: irritación, CODE: enojo
PROP: constricción, CODE: restricción
PROP: celebración, CODE: fiesta
PROP: concepto, CODE: idea
PROP: reunión, CODE: encuentro
PROP: dieta, CODE: régimen
PROP: culmine, CODE: punto máximo
PROP: inteligencia, CODE: sabiduría
PROP: autoridad, CODE: poder
PROP: asesino, CODE: homicida
PROP: arte, CODE: creatividad
PROP: cultura, CODE: tradiciones
PROP: no miedo, CODE: valentía
PROP: no duda, CODE: certeza
PROP: ilusión, CODE: esperanza
PROP: fantasía, CODE: imaginación
PROP: punto medio, CODE: equilibrio
PROP: premeditación, CODE: planificación
PROP: memoria, CODE: recuerdo
PROP: útil, CODE: práctico
PROP: apelación, CODE: recurso
PROP: propensión, CODE: tendencia
PROP: manipulación, CODE: influencia
PROP: simplificación, CODE: facilitación
PROP: detallar, CODE: especificar
PROP: escudo, CODE: protección
PROP: energía desbordante, CODE: entusiasmo
PROP: meditación, CODE: reflexión
PROP: vergüenza, CODE: pena
PROP: madres, CODE: maternidad
PROP: plenitud, CODE: satisfacción
PROP: calificación, CODE: evaluación
PROP: coincidencia, CODE: casualidad
PROP: plan, CODE: estrategia
PROP: quedar, CODE: permanecer
PROP: no esperar, CODE: sorprender
PROP: ventas, CODE: comercialización
PROP: pensar mucho, CODE: reflexionar
PROP: principio, CODE: inicio
PROP: previo, CODE: anterior
PROP: no funcionar, CODE: fallar
PROP: victima, CODE: perjudicado
PROP: desconcentración, CODE: distracción
PROP: fiel, CODE: leal
PROP: no secretos, CODE: transparencia
PROP: esperanza, CODE: ilusión
PROP: finanzas, CODE: economía
PROP: expresión, CODE: comunicación
PROP: directo, CODE: recto
PROP: sobre exageración, CODE: exceso
PROP: confución amor, CODE: enamoramiento
PROP: momento, CODE: instante
PROP: no temor, CODE: valentía
PROP: excitación, CODE: emoción
PROP: desgracia, CODE: tragedia
PROP: no politicos, CODE: apolítico
PROP: politicos no, CODE: antipolítico
PROP: franqueza, CODE: sinceridad
PROP: exitación, CODE: emoción
PROP: obtención, CODE: adquisición
PROP: negligencia, CODE: descuido
PROP: bonito, CODE: hermoso
PROP: arreglo, CODE: solución
PROP: humildad, CODE: modestia
PROP: aliciente, CODE: motivación
PROP: aumento, CODE: incremento
PROP: hermandad, CODE: fraternidad
PROP: protocolo, CODE: etiqueta
PROP: frontalidad, CODE: sinceridad
PROP: optimizacion, CODE: mejora
PROP: caridad, CODE: generosidad
PROP: expectativas, CODE: esperanzas
PROP: efímero, CODE: breve
PROP: aclaración, CODE: explicación
PROP: finaciamiento, CODE: financiamiento
PROP: cualquier ocasión, CODE: siempre
PROP: perseverancia, CODE: persistencia
