PROP: razonamiento, CODE: lógica
PROP: idea, CODE: concepto
PROP: aspiraciones, CODE: metas
PROP: ganar, CODE: victoria
PROP: logro, CODE: éxito
PROP: fíguras, CODE: formas
PROP: aptitud, CODE: habilidad
PROP: forma, CODE: figura
PROP: alegría, CODE: felicidad
PROP: sonrisa, CODE: risa
PROP: filosofía, CODE: pensamiento
PROP: virtud, CODE: cualidad
PROP: verdad, CODE: realidad
PROP: comprensión, CODE: entendimiento
PROP: humano, CODE: persona
PROP: alerta, CODE: aviso
PROP: peligro, CODE: riesgo
PROP: advertencia, CODE: precaución
PROP: precaución, CODE: cuidado
PROP: miedo, CODE: temor
PROP: capacidad, CODE: habilidad
PROP: práctica, CODE: ejercicio
PROP: rendimiento, CODE: desempeño
PROP: idea, CODE: concepto
PROP: personal, CODE: individual
PROP: reflexión, CODE: pensamiento
PROP: uno mismo, CODE: yo
PROP: identidad, CODE: personalidad
PROP: protección, CODE: seguridad
PROP: no riesgo, CODE: seguridad
PROP: favor, CODE: ayuda
PROP: gratitud, CODE: agradecimiento
PROP: exposición, CODE: presentación
PROP: riesgo, CODE: peligro
PROP: alerta, CODE: aviso
PROP: inseguridad, CODE: temor
PROP: fe, CODE: creencia
PROP: lo último que se pierde, CODE: esperanza
PROP: imposible, CODE: irrealizable
PROP: objetividad, CODE: imparcialidad
PROP: futuro, CODE: porvenir
PROP: preocupación, CODE: inquietud
PROP: dos o más partes, CODE: pluralidad
PROP: angustia, CODE: ansiedad
PROP: incapacidad, CODE: ineficacia
PROP: responsabilidad, CODE: obligación
PROP: sentimiento, CODE: emoción
PROP: recompensa, CODE: premio
PROP: admitir, CODE: aceptar
PROP: sentimiento, CODE: emoción
PROP: positivo, CODE: favorable
PROP: capacidad, CODE: habilidad
PROP: positivo, CODE: optimista
PROP: elección, CODE: decisión
PROP: elección, CODE: opción
PROP: postura, CODE: posición
PROP: pensamiento, CODE: idea
PROP: positivo, CODE: optimista
PROP: cargante, CODE: agobiante
PROP: significado, CODE: sentido
PROP: alegría, CODE: felicidad
PROP: transmición, CODE: comunicación
PROP: irradiación, CODE: emisión
PROP: búsqueda, CODE: exploración
PROP: alegría, CODE: felicidad
PROP: capacidad, CODE: habilidad
PROP: trabajo, CODE: labor
PROP: dominio, CODE: control
PROP: equivalencia, CODE: igualdad
PROP: matemáticas, CODE: números
PROP: certeza, CODE: seguridad
PROP: angustia, CODE: ansiedad
PROP: estado, CODE: condición
PROP: fin semestre, CODE: culminación
PROP: riesgo, CODE: peligro
PROP: peligro, CODE: riesgo
PROP: enemigo, CODE: adversario
PROP: conciencia, CODE: conocimiento
PROP: aprendizaje, CODE: educación
PROP: cualidad, CODE: atributo
PROP: reflexión, CODE: pensamiento
PROP: mental, CODE: psicológico
PROP: abstracción, CODE: concepto
PROP: sensación, CODE: percepción
PROP: conformidad, CODE: acuerdo
PROP: inseguridad, CODE: temor
PROP: incomodidad, CODE: malestar
PROP: riesgo, CODE: peligro
PROP: fe, CODE: creencia
PROP: sentimiento, CODE: emoción
PROP: trastorno, CODE: desorden
PROP: presión, CODE: estrés
PROP: tratado, CODE: acuerdo
PROP: angustia, CODE: ansiedad
PROP: riesgo, CODE: peligro
PROP: inseguridad, CODE: temor
PROP: amenaza, CODE: peligro
PROP: a salvo, CODE: seguro
PROP: riesgo, CODE: peligro
PROP: extremos, CODE: límites
PROP: psicopatía, CODE: trastorno
PROP: mal, CODE: maldad
PROP: arrepentimiento, CODE: remordimiento
PROP: angustia, CODE: ansiedad
PROP: futuro, CODE: porvenir
PROP: idea, CODE: concepto
PROP: ayuda, CODE: asistencia
PROP: sabiduría, CODE: conocimiento
PROP: peligro, CODE: riesgo
PROP: inseguridad, CODE: temor
PROP: ayuda, CODE: apoyo
PROP: logro, CODE: éxito
PROP: orgullo, CODE: satisfacción
PROP: humano, CODE: persona
PROP: poder, CODE: capacidad
PROP: no problemas, CODE: solución
PROP: alegría, CODE: felicidad
PROP: sonrisa, CODE: risa
PROP: logro, CODE: éxito
PROP: emoción, CODE: sentimiento
PROP: dos o más partes, CODE: pluralidad
PROP: compromiso, CODE: responsabilidad
