PROP: destacado, CODE: prominente
PROP: independencia, CODE: autonomía
PROP: falla, CODE: error
PROP: honor, CODE: dignidad
PROP: método, CODE: procedimiento
PROP: obstinación, CODE: terquedad
PROP: honradez, CODE: honestidad
PROP: debate, CODE: discusión
PROP: no locura, CODE: cordura
PROP: deporte extremo, CODE: aventura
PROP: impotencia, CODE: incapacidad
PROP: ceguera, CODE: falta de visión
PROP: agresión, CODE: violencia
PROP: cólera, CODE: ira
PROP: diferenciación, CODE: distinción
PROP: falsedad, CODE: mentira
PROP: incitación, CODE: provocación
PROP: contención, CODE: moderación
PROP: carga, CODE: peso
PROP: sensibilidad, CODE: delicadeza
PROP: grecia, CODE: helénico
PROP: críticos, CODE: analíticos
PROP: timidez, CODE: timorato
PROP: amabilidad, CODE: gentileza
PROP: más, CODE: adicional
PROP: actitud, CODE: postura
PROP: telefonía, CODE: comunicación telefónica
PROP: entrenamiento, CODE: preparación
PROP: planificación, CODE: organización
PROP: añoranza, CODE: nostalgia
PROP: agitación, CODE: inquietud
PROP: no aguantar, CODE: intolerancia
PROP: conseguir, CODE: obtener
PROP: segunda, CODE: segundo
PROP: cambio, CODE: modificación
PROP: juego mental, CODE: estrategia
PROP: post rabia, CODE: calma
PROP: no distorsión, CODE: claridad
PROP: hechos, CODE: sucesos
PROP: optención, CODE: obtención
PROP: aprobación, CODE: aceptación
PROP: ratificación, CODE: confirmación
PROP: inexpresable, CODE: indescriptible
PROP: compartir, CODE: colaborar
PROP: guardaespalda, CODE: escolta
PROP: no perdida, CODE: conservación
PROP: Deporte, CODE: actividad física
PROP: estrato social, CODE: nivel social
PROP: no acción, CODE: inacción
PROP: anormal, CODE: atípico
PROP: utilidades, CODE: beneficios
PROP: conciliación , CODE: acuerdo
PROP: control, CODE: dominio
PROP: ileso, CODE: indemne
PROP: pecado, CODE: transgresión
PROP: carácter, CODE: personalidad
PROP: condición, CODE: estado
PROP: comer, CODE: alimentarse
PROP: confiabilidad, CODE: fiabilidad
PROP: precisión, CODE: exactitud
PROP: uso, CODE: utilización
PROP: adultez, CODE: madurez
PROP: no rendición, CODE: perseverancia
PROP: susto, CODE: miedo
PROP: terrorismo, CODE: actos terroristas
PROP: auxilio, CODE: ayuda
PROP: rápidez, CODE: velocidad
PROP: velocidad, CODE: rapidez
PROP: estadística, CODE: datos numéricos
PROP: vida, CODE: existencia
PROP: certidumbre, CODE: seguridad
PROP: boceto, CODE: esbozo
PROP: incendio, CODE: fuego
PROP: fobia, CODE: miedo irracional
PROP: momento apropiado, CODE: oportunidad
PROP: carrera, CODE: profesión
PROP: no todos, CODE: no todos
PROP: dadas, CODE: proporcionadas
PROP: fruto, CODE: resultado
PROP: breve, CODE: corto
PROP: gratificante, CODE: satisfactorio
PROP: intrínseco, CODE: inherente
PROP: lugar, CODE: sitio
PROP: comunicación, CODE: interacción
PROP: concreto, CODE: específico
PROP: limitación, CODE: restricción
PROP: premio, CODE: recompensa
PROP: dicha, CODE: felicidad
PROP: salud, CODE: bienestar
PROP: colaborar, CODE: cooperar
PROP: no acción, CODE: pasividad
PROP: reglas, CODE: normas
PROP: autocrítica, CODE: autorreflexión
PROP: ahogamiento, CODE: sofocación
PROP: comodidad, CODE: confort
PROP: antivirus, CODE: programa de seguridad
PROP: credito, CODE: préstamo
PROP: no sistema, CODE: desorganización
PROP: oportunidad, CODE: posibilidad
PROP: ambición, CODE: aspiración
PROP: meta, CODE: objetivo
PROP: deseo, CODE: anhelo
PROP: querer, CODE: desear
PROP: observación, CODE: examen
PROP: manual, CODE: guía
PROP: guardias, CODE: vigilantes
PROP: no mal, CODE: bondad
PROP: propuesta, CODE: sugerencia
PROP: deseo, CODE: anhelo
PROP: cabeza, CODE: mente
PROP: guardias, CODE: vigilantes
PROP: pasos, CODE: etapas
PROP: desorden, CODE: caos
PROP: fijación, CODE: obsesión
PROP: guía, CODE: orientación
PROP: directriz, CODE: instrucción
PROP: consecuencias, CODE: resultados
PROP: alternativa, CODE: opción
PROP: camino, CODE: ruta
