Dificil de efectuar,dificultad
Se necesita esfuerzo,esfuerzo
Es a lo que uno aspira,aspiraciones
Metas claras,meta
Se busca un objetivo personal,objetivos
Incomoda,incomodidad
Acecha,acecha
Esta presente,presente
Es mala,mal
Cambia la actitud de las personas,disuasión
No se puede evitar,inevitable
Razonamiento logico,razonamiento
Busca lograr cierto objetivo,búsqueda
Bienestar,bienestar
Todos queremos sentirnos asi,todos
En chile se esta perdiendo,no hay en Chile
Se usan candados,candados
Los policias la protegen,policias
Algunos paises tienen mas que otros,países
Esta en la naturaleza humana,humano
"Produce algo internamente, en lo espiritual",interno
La gente buena la tiene mas presente,bien
Es personal,personal
Depende del punto de vista de cada uno,punto de vista
Para algunas cosas es mas complicado,complicado
Todos lo hemos hecho,todos
Sirve para que otro entienda cierta cosa,entendimiento
Ayuda a comunicarnos,ayuda
Se necesita observacion y enterder,entendimiento
Estado humano,humano
Sucede cuando hiciste algo malo,mal
Algunos la sienten mas que otros,propensión
Se siente mal,mal
Generalmente hay que saciarla con alguna accion,acción
Ataca mentalmente,ataque
Cuando se termina es un alivio,alivio
peligro,peligro
atacante,ataque
tiene un fin ,final
puede agredir ,agresión
perjudica a otros,perjuicio
presicion para hacer algo,precisión
habilidad,habilidades
razonamiento,razonamiento
consciente,conciencia
sentirse seguro con/en,sentimiento
lleva a no preocuparse ante distintas situaciones,no preocupación
comodidad,comodidad
tiene que ver con el respeto,respeto
viene en respuesta de la ayuda que alguien le otorgue a otro,ayuda
dar las gracias demuestra educacion básica,gratitud
deberia mantenerse a traves del tiempo,constante
puede ser considerado como amenaza,amenaza
tiende a reaccionar con el miedo,miedo
adrenalina,adrenalina
es lo ultimo q se pierde,lo último que se pierde
religion,religión
anticipar ,anticipación
busca una solucion frente a algun problema,solución
genera problemas a la larga ,problemas
afecta al eje HPA,eje HPA
puede ser entre 1 o mas participantres,dos o más partes
todos las personas contamos con ella,capacidad
siempre aparece cuando estamos estreados,estrés
aparece cuando no ves más alternativas para resolver un problema,no alternativa
cuando no sabes que más hacer para salvar o arreglar la situación,no acción
uno puede actuar irracional e inconciente bajo el efecto del concepto,irracional
siempre debe existir en una relación de pareja,relación
puede ser personal o grupal,personal/grupal
Dios tuvo esa cualidad con nosotros,Dios
empatía,empatía
apiádate de mi por favor,piedad
racional,razonamiento
característica,características
la tienen todos los seres humano,humano
"para argumentar, se pueden usar varias de ellas",argumentación
argumentos,argumentación
lo padecen los acumuladores,acumulación
cualidad,cualidad
"como consecuencia, puede traer rabía, ira y descontrol de la persona",descontrol
beneficio,beneficios
utilidad,utilidad
ingresos,ingreso
las empresas se mueven por tenerla,empresas
normalmente se mide en cantidad de dinero,dinero
Habilidad,habilidades
Capacidad para competir en determinada área,capacidad
Se dice este concepto cuando vemos que una persona posee habilidad en determinado campo,habilidades
Angustia,angustia
Sentimiento presente cuando obramos de mala manera,mal
Ligado al arrepentimiento,arrepentimiento
"Varia de persona a persona, pudiendo responder a distintos objetos",personal
Cavilación,cavilación
Hecho mental que nos hace recordar o surgir ideas nuevas ,mente
Es común ver a los adultos tener esta acción frente el futuro.,futuro
Se liga a la creatividad y la ideas,creatividad
Valor correspondiente a alguien que no miente,valor
Estado angustioso,angustia
Usualmente las personas que pasan por esto necesitan ayuda externa,ayuda
Ansiedad,ansiedad
Dependencia hacia un objeto o persona aunque nos haga mal,dependencia
Asociado al trastorno compulsivo ,trastorno
Deseo de algo en exceso,deseo
Privilegio de perfeccionarte en una determinada área,privilegío
Autoestima retratada en el caminar y hablar,autoestima
Establecer límites,límite
Sentimiento que se siente al haber cometido una acción que se sabes es incorrecta o indebida. ,mal
Sentimiento de remordimiento por un acto o palabra dicha.,remordimiento
"Trato, promesa o compromiso de algo, entre un par o un grupo de individuos.",trato
Dinero generado producto de un trabajo o un trueque.,dinero
Acción realizada cuando se quiere atribuir un acto o un hecho que produjo resultados beneficiosos para el receptor.,acción
Acto de dar las gracias respecto a algo.,gratitud
Estado que yace en la mente de las personas.,mente
"Figuración mental respecto a letras, objetos, personas, cosas, etc.",mente
Representación mental respecto a algo o alguien.,mente
Buen sentimiento que se da como resultado de un hecho positivo.,bien
Carácterística que se da en personas cuyas palabras tienen cohesión con sus hechos.,cohesión
"Aspecto que permite a una persona, saber lo que está bien y mal.",bien/mal
"Aviso de que una acción tuya puede gatillar una reacción en otra persona, generalmente negativa.",advertencia
Advertencia acerca de algo.,advertencia
"Palabras que sirven para ""tapar"" un acto que sabes es incorrecto.",tapar
deber ,deber
justificacion ,justificación
justificar algo ,justificación
