superar objetivos,superación
destacado,destacado
independencia,independencia
falla,falla
honor,honor
define metodos y caminos para llegar a un objetivo,método
obstinamiento sobre algo o alguien.,obstinación
honradez,honradez
debatir algo,debate
La gente loca la pierde,no locura
Tirarse en parapante lo es.,deporte extremo
Impotencia,impotencia
Cegarse a algo,ceguera
puede ser respondida de manera agresiva por el receptor,agresión
Cólera,cólera
Diferenciación ,diferenciación
falsedad,falsedad
incitar algo,incitación
Contener a otro ,contención
Carga,carga
sentir sensibilidad por algo o alguien,sensibilidad
en grecia era el motor principal de los filosofos,grecia
muchas veces son críticos y analiticos,críticos
algunas personas son mas timidas por ser mas,timidez
respuesta a una amabilidad,amabilidad
sentimiento de que siempre se puede algo mas,más
actitud que empuja a ir mas alla,actitud
es lo que pago alfinal de mes en entel,telefonía
Puede mejorar con entrenamiento,entrenamiento
Nos permite planificar,planificación
añoranza ,añoranza
situación que provoca agitación,agitación
cuando ya no aguantas mas,no aguantar
para conseguir algo necesito una,conseguir
mucha gente cree en dar segundas,segunda
te la dan para que cambies algo en tu vida ,cambio
juego mental,juego mental
se pasa muchas veces de la rabia a este sentimiento,post rabia
No distorsionar la realidad,no distorsión
Hechos,hechos
Lo que obtiene uno de alguna experiencia,optención
Aprovacion ,aprobación
Ractificar una idea,ratificación
Imposible de expresar en su totalidad,inexpresable
Pueden compartirse para situaciones del mismo contexto,compartir
Guadaespalda,guardaespalda
lo contrario a pérdida,no perdida
Como se está cuando Chile gana en futbol,Deporte
Se dice que la gente con mayor estrato social tiene mas de esto que lo menos afortunados,estrato social
cuando no sabes que hacer,no acción
cuando haces cosas que nunca pensaste que harías en situaciones normales,anormal
tener un margen positivo en utilidades,utilidades
conciliación,conciliación 
control,control
forma de salir ileso ante una situación que nos desfavorecería.,ileso
pecados,pecado
es de carácter ,carácter
condiciones,condición
"""picotear"" comida",comer
confiable,confiabilidad
preciso,precisión
especificar su uso,uso
los adultos tienen mas que los niños,adultez
no rendirse,no rendición
susto,susto
terrorismo,terrorismo
auxilio,auxilio
pensamiento rapido,rápidez
velocidad excesiva,velocidad
estadística,estadística
años de vida,vida
certidumbre,certidumbre
boceto,boceto
es lo que hay si estuvieras en medio de un incendio,incendio
es lo que sienten las personas cuando están lidiando con su fobia,fobia
es cuando hay un momento exacto para llevar a cabo algo ,momento apropiado
se refiere a cuando eliges una carrera universitaria al salir del colegio,carrera
no todos la tienen,no todos
te las da algo o alguien,dadas
fruto de algo,fruto
no es constante,breve
gratificante,gratificante
son intrinsicas,intrínseco
la sientes en un lugar,lugar
permite comunicación ,comunicación
no es abstracta,concreto
Limite,limitación
Puede simular un premio,premio
dicha,dicha
mejor salud,salud
colaborar con alguien,colaborar
no saber que hacer,no acción
regla que se debe acatar,reglas
pensamiento autocritico,autocrítica
falta de respiracion ,ahogamiento
sensacion de comodidad,comodidad
antivirus,antivirus
credito,credito
el sistema no la tiene ,no sistema
tener distintas oportunidades,oportunidad
es una ambición,ambición
tener meta ,meta
una sensación de deseo,deseo
querer lograrla a toda costa,querer
observación,observación
manual,manual
guardia,guardias
bloqueo de males,no mal
propuesta ,propuesta
"deseo, aspiración, sueño",deseo
desarrollar imagen en la cabeza,cabeza
Tener guardias puede darte una cierta …,guardias
Pasos a seguir,pasos
Desorden del pensamiento,desorden
Fijaciones ante un estimulo,fijación
guiar,guía
directriz,directriz
generalmente tiene consecuencias si uno no la hace,consecuencias
alternativa,alternativa
Se toma cuando uno debe decidir entre diferentes camino,camino
