pasa en el cerebro,cerebro
sólo lo hacen los seres humanos,humano
es la diferencia entre un humano y un animal,humano
chance sobre algo,chance
no pasa dos veces,único
generalmente se le atribuye a la gente que se encuentra sonriente,sonrisa
es algo positivo ,positivo
vía por la cual se busca el significado de algo ,significado
"Cuando se desconce, la buscamos ",búsqueda
o la gente indefensa,indefensión
También muchos trastornos se desarrolan por esto ,trastorno
fármacos pueden controlarla,tratamiento contra
va más allá del control de la persona,descontrol
generalmente un suceso la provoca,suceso
sentimiento intranquilizante ,intranquilidad
provocado no por desición de la persona,indecisión
es cuando de pierde la tranquilidad,intranquilidad
Algo que puede hacer daño,daño
Hay que tener cuidado ,cuidado
El humnao tiende siempre a evitarlo,evitación
se relaciona con que algo bueno pronto sucederá,bien
Se utiliza para organizar algo,organización
pueden tener fines positivos o negativos ,positivo/negativo
determina una situación ,determinación
"Si se hacen malas elecciones de sto, podemos sufrir consecuencias ",elección
buenas elecciones de esto nos hace sentirnos plenos ,elección
la accion previa trajo felicidad y por eso se realiza,felicidad
Involucra la mente,mente
Proviene de una acción que realiza la mente,mente
Se desarrolla la mente a través de esta herramienta,mente
Sentimiento que surge al hecer algo mal,mal
Aparece sólo si se esta conciente que se hizo algo mal,conciencia
Cualidad humana,humano
sirve para mejorar la convivencia,convivencia
Se asume que todos la poseen,todos
Se asume positiva,positivo
su recepción genera angustia,angustia
busca hacer daño,daño
se ve como advertencia o ultimatum,advertencia
el afectado debe realizar acciones para mantenerla,mantenerlas
acuardo implicito entre personas,acuerdo
acompañado de una advertencia,advertencia
provoca daño,daño
las guerras son las que mas lo poseen,guerras
bueno para algo,bien
se logra con práctica y trabajo duro,práctica
procedimiento al que se llaga para lograr algo,procedimiento
involucra un conjunto de acciones,acción
busca un objetivo,objetivos
suele involucrar a muchas personas,muchos
significado,significado
razon,razonamiento
cada libro posee un glosario de esta,glosario
quien no miente,no mentir
contrario a mentira,no mentir
sentimiento que nos atormenta cuando realizamos una mala accion,mal
a menudo nos afecta si no hay una conciencia limpia,conciencia
dinero extra,dinero
logica,lógica
gente en discusiones quiere poseerla,discusión
se puede encontrar en el mundo de las leyes,leyes
sirve para tener una idea de accion a realizar,idea
planificacion de acciones,acción
con frencuencia usado para tener una vision de proyecto a futuro,futuro
sentimiento que surge al sentirnos presionados,presión
puede ser alterada para conveniencia,conveniencia
involucra a 2 o mas personas,dos o más partes
modo de usar la razon para lograr un interes en comun,común
puede llegar a perjudicar a alguien,perjuicio
lo ultimo que se pierde,lo último que se pierde
dios nos la brinda,Dios
personas religiosas suelen poseerla con mayor frecuencia que las que no,religión
todo alumno al final del semestre,fin semestre
caracterizacion,caracterización
visualizar,visualización
ejemplificar,ejemplo
pureza,pureza
ayuda,ayuda
consejo,concejo
advertencia,advertencia
ver visiones desde otros puntos de vistas,visiones
sentimiento,sentimiento
maldad,mal
reflexion sobre un mal acto,reflexión
pesame de la conciencia,conciencia
futuro,futuro
felicidad,felicidad
vienen tiempos buenos,bien
satisfecho,satisfacción
poder,poder
sabiduria,sabiduría
vision,visión
eleccion,elección
proyeccion,proyección
comprometer,compromiso
relacionar,relación
exigir,exigencia
alegria,alegría
sonrisa ,sonrisa
sin problemas ,no problemas
musica,música
angustia,angustia
ansiedad,angustia
cuando no puedes controla algo,incontrolable
miedo ,miedo
cuando te dan regalos uno lo hace ,regalo
cuando te hacen un favor uno lo dice ,favor
esta en cada acto de las personas ,persona
cuando estas feliz con lo que recibes ,felicidad
cuando estas feliz con lo que te hicieron ,felicidad
cuando uno entrega cosas a cambio,entrega
esta en los libros ,libros
estrategia ,estrategia
objetivo de un curso,objetivos
se hace de a 2 o mas personas ,dos o más partes
organización ,organización
se llega a una meta a partir de este ,meta
punto de vista u opinion,punto de vista
cuando una persona elige algo ,elección
es algo de cada persona ,personal
todos podemos tener esta pero pueden ser iguales o distintas ,todos
es un ultimatum,ultimátum
las personas se sienten agradecidas gracias a esto,gratitud
al buscar trabajo uno las busca ,trabajo
