poder viajar gratis,viajar
repeticion de conductas,repetición
depender de algo,dependencia
mental,mental
Manera de explicar algo,explicación
Ocurre al enterarse o ver injusticias,injusticia
pueden señalar un error,señalar
no hay limite para el,no límite
Es contagiosa,contagio
sentirse en deuda con el otro ,deuda
un comentario,comentario
reaccionar,reacción
verosimil ,verosimilitud
sirve para justificar algo,jutificación
quieres hacer algo para no sentirla,no sentir
Algo que se entrega a otra persona ,entregar
Claustrofobia,claustrofobia
Se asocia a la personalidad,peronalidad
Requiere un minimo de interes,interés
Puede no estar correcta,no correcto
Profesional,profesional
Se suele poner en duda,duda
No es necesario estar de acuerdo para cumplirla ,no acuerdo
Plenitud ,plenitud
aun no se sabe de donde proviene,origen desconocido
sentimos esto antes de un exámen,exámen
soñar con una gratificacion futura,soñar
siniestro,siniestro
constricción,constricción
mandato,mandato
fama,fama
eudemonismo,edonismo
Relacionado con el desempeño ,desempeño
muestra de afecto después de prestar atención ,afecto
puede funcionar como mecanismo de defensa en casos particulares,mecanismo de defensa
estilo de vida,estilo de vida
un respuesta,repuesta
concretar objetivos como sea,como sea
enseñanza superior ,enseñanza
regaño ,regaño
hacer algo obligado,obligación
condicional,condicional 
arte,arte
meditación,meditación
Fuera de salvedad,no a salvo
unanimidad,unánime
Se confunde recurrentemente con el enamoramiento,confución amor
Forma de manipular a las personas,manipulación
Suma en un capital,suma
Estar sometido a algo,sometimiento
"En un secuestro, siempre se ……. Con matar al rehen",secuestro
Cuando se logra completar algun desafío,completar
Todo el día se está ………………,todo el día
Aveces son envidiadas,envidia
La seguridad genera esperanza ,esperanza
Puede terner fundamentos racionales o no,racional
Hay informales y formales,formal/informal
lealtad,leal
aumento de algo,aumento
se siente cuando se expone un evento traumático,trauma
algo que agrava las faltas,agravante
Enciclopedia ,enciclopedia
sensación duradera,duradera
Es algo concluyente ,conclusión
Surge cuando se perjudica a otros,perjucio
Se busca obtener en la vida cotideana,vida cotidiana
detallar algo,detallar
alguna gente es mas propensa a poseerla,propensión
muchas personas sufren de esto cuando se encuentran deseosas de algo,obseción
recapitular los rasgos escenciales,rasgos
direccionar,dirrecionar
pesame mental,pesame
auge,auge
inequidad,inequidad
en un nacimiento ,nacimiento
complot ,complot
maxima expresion,máximo
prohibicion,prohibición
herida,herida
creatividad,creatividad
es admirada por las personas,admiración
puede tener graves consecuencias,grave
permite progresar,progreso
cronológico,cronológico
Poca credibilidad,no credibilidad
Relata la esencia,esencia
Estado idealizado del equilibrio,idealización
Repercute ,repercusiones
Cuando una persona es franca (de franqueza),franqueza
Cuando ocurre una desgracia,desgracia
Estado de emergencia ante una catástrofe,emergencia
Cuando hago algo que me gusta me provoca  ,gusto
Insatisfacón,insatisfacción
Obtener algo ,obtención
Forma poco sana de querer hacer algo ,no salud
Estado natural,natural
No se puede escapar,no escape
"Puede durar muy poco, o mucho tiempo",mucho/poco
se trabaja para perfeccionarla,perfecionamiento
en su mayoría se observa más en mujeres que en hombres,femenino
"expresar lo que uno siente, sin preocuparse en la consecuencia que trae dicerlo",expresión
coleccionador,colecionar
Se genera la acción al profundizar sobre algún evento,profundizar
Privilegio de poder demostrar tus habilidades y capacidades en algo muy solicitado,privilegío
decir algo para salir de aprietos ,salir de apretios
Ocultar respecto a algo,ocultar
Pocas personas lo hacen,pocas personas
Esta asociado a grandes subidas de peso en poco tiempo,subir peso
hiperactivo,hiperactividad
júbilo,júbilo
asertividad,asertividad
trazado,trazado
sentimiento supremo,supremo
Superar o cumplir con las espectativas,espectativas
resiliencia,resiliencia
concenso,conceso
resultado de una gestion transaccional beneficiosa,gestión
se refleja con cara de asombro,asombro
Es tener cordura o una mente sana para actuar,cordura
Es aclarar a una persona respecto de un tema sin manipular,aclaración
decir que es el objeto o cosa,objeto
 Capacidad de realizar alguna tarea,Hacer
lo logra la perserverancia,perseverancia
ganas de gritar,grito
