PROP: ingenio, CODE: creatividad
PROP: progreso, CODE: avance
PROP: pensamiento, CODE: reflexión
PROP: inteligencia, CODE: astucia
PROP: firmeza, CODE: determinación
PROP: desinteresadamente, CODE: altruismo
PROP: luz, CODE: iluminación
PROP: blanco, CODE: pureza
PROP: posibilidad, CODE: oportunidad
PROP: táctica, CODE: estrategia
PROP: militar, CODE: ejército
PROP: sudor, CODE: esfuerzo
PROP: meticuloso, CODE: minucioso
PROP: modificable, CODE: adaptable
PROP: pretexto, CODE: excusa
PROP: innecesario, CODE: prescindible
PROP: irresponsabilidad, CODE: negligencia
PROP: objetivo, CODE: meta
PROP: optimismo, CODE: esperanza
PROP: ligereza, CODE: agilidad
PROP: arrepentimiento, CODE: remordimiento
PROP: emoción, CODE: sentimiento
PROP: limpiar, CODE: higienizar
PROP: repetición, CODE: reiteración
PROP: abstracción, CODE: conceptualización
PROP: propósito, CODE: objetivo
PROP: demostración, CODE: evidencia
PROP: librarse, CODE: escapar
PROP: antojo, CODE: capricho
PROP: safarse, CODE: evadir
PROP: existir, CODE: vivir
PROP: promesa, CODE: compromiso
PROP: preguntar, CODE: inquirir
PROP: saber, CODE: conocimiento
PROP: rentabilidad, CODE: beneficio
PROP: ventas, CODE: comercialización
PROP: preferencia, CODE: elección
PROP: transparencia, CODE: claridad
PROP: enfermedad, CODE: dolencia
PROP: no vivir, CODE: morir
PROP: asaña, CODE: habilidad
PROP: diferentes, CODE: distintos
PROP: personal/grupal, CODE: colectivo
PROP: rejas, CODE: barrotes
PROP: cárcel, CODE: prisión
PROP: afinidad, CODE: similitud
PROP: constante, CODE: permanente
PROP: ansiedad, CODE: inquietud
PROP: mental, CODE: psicológico
PROP: cualidad, CODE: atributo
PROP: evaluación, CODE: valoración
PROP: desconocido, CODE: incógnito
PROP: moral, CODE: ética
PROP: ventana, CODE: abertura
PROP: grandeza, CODE: magnitud
PROP: locura, CODE: demencia
PROP: contadores, CODE: medidores
PROP: plenitud, CODE: satisfacción
PROP: concepto, CODE: idea
PROP: término, CODE: finalización
PROP: peso, CODE: carga
PROP: contexto, CODE: entorno
PROP: delito, CODE: crimen
PROP: terquedad, CODE: obstinación
PROP: reunión, CODE: encuentro
PROP: directo, CODE: recto
PROP: no absoluta, CODE: relativa
PROP: amor, CODE: afecto
PROP: ilusión, CODE: esperanza
PROP: desesperación, CODE: angustia
PROP: léxico, CODE: vocabulario
PROP: cronograma, CODE: planificación
PROP: debilidad, CODE: fragilidad
PROP: lástima, CODE: compasión
PROP: expresión, CODE: manifestación
PROP: gozo, CODE: alegría
PROP: prepotencia, CODE: arrogancia
PROP: aprovechar, CODE: utilizar
PROP: definición, CODE: explicación
PROP: burbuja personal, CODE: zona de confort
PROP: tergiversación, CODE: distorsión
PROP: obtención, CODE: adquisición
PROP: pena, CODE: tristeza
PROP: serenidad, CODE: calma
PROP: detallar, CODE: especificar
PROP: victoria, CODE: triunfo
PROP: algoritmo, CODE: procedimiento
PROP: modelo, CODE: ejemplo
PROP: arte, CODE: creatividad
PROP: arreglo, CODE: solución
PROP: espera, CODE: anticipación
PROP: franqueza, CODE: sinceridad
PROP: manipulación, CODE: influencia
PROP: favorecer resultados, CODE: potenciar
PROP: no ocultar, CODE: revelar
PROP: tensión, CODE: estrés
PROP: culmine, CODE: clímax
PROP: cima, CODE: cumbre
PROP: intangible, CODE: inmaterial
PROP: tacto, CODE: sensibilidad
PROP: motor, CODE: impulsor
PROP: igualdad, CODE: equidad
PROP: ceder, CODE: renunciar
PROP: meditación, CODE: reflexión
PROP: quedar, CODE: permanecer
PROP: definitivamente, CODE: absolutamente
PROP: ocasión, CODE: oportunidad
PROP: tolerancia, CODE: aceptación
PROP: apego, CODE: afecto
PROP: correr, CODE: correr
PROP: autoridad, CODE: poder
PROP: normas, CODE: reglas
